league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
,0809,Aalborg,2008-07-30 Aalborg-FK Modriča,2008-07-30,,Second qualifying round,Wed,Home,W,5,0,FK Modriča,,,,,,Stanislav Sukhina,/en/matches/fe0e0185/Aalborg-FK-Modrica-July-30-2008-Champions-League,Leg 1 of 2,,,,,,,,,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0809,Aalborg,2008-08-06 FK Modriča-Aalborg,2008-08-06,,Second qualifying round,Wed,Away,W,2,1,FK Modriča,,,,,,Thorsten Kinhöfer,/en/matches/3171bb10/FK-Modrica-Aalborg-August-6-2008-Champions-League,Leg 2 of 2; Aalborg won,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0809,Aalborg,2008-08-13 Aalborg-FBK Kaunas,2008-08-13,,Third qualifying round,Wed,Home,W,2,0,FBK Kaunas,,,,,,Ivan Bebek,/en/matches/927bf040/Aalborg-FBK-Kaunas-August-13-2008-Champions-League,Leg 1 of 2,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0809,Aalborg,2008-08-27 FBK Kaunas-Aalborg,2008-08-27,,Third qualifying round,Wed,Away,W,2,0,FBK Kaunas,,,,,,Pedro Proença,/en/matches/c6ad2206/FBK-Kaunas-Aalborg-August-27-2008-Champions-League,Leg 2 of 2; Aalborg won,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0809,Aalborg,2008-09-17 Celtic-Aalborg,2008-09-17,,Group stage,Wed,Away,D,0,0,Celtic,,,,,,Matteo Trefoloni,/en/matches/b4160bea/Celtic-Aalborg-September-17-2008-Champions-League,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
,0809,Aalborg,2008-09-30 Aalborg-Manchester Utd,2008-09-30,,Group stage,Tue,Home,L,0,3,Manchester Utd,,,,,,Olegário Benquerença,/en/matches/bb647192/Aalborg-Manchester-United-September-30-2008-Champions-League,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Aalborg,2008-10-21 Villarreal-Aalborg,2008-10-21,,Group stage,Tue,Away,L,3,6,Villarreal,,,,,,Florian Meyer,/en/matches/f004a153/Villarreal-Aalborg-October-21-2008-Champions-League,,,,,,,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0809,Aalborg,2008-11-05 Aalborg-Villarreal,2008-11-05,,Group stage,Wed,Home,D,2,2,Villarreal,,,,,,Bertrand Layec,/en/matches/b9ed9ce6/Aalborg-Villarreal-November-5-2008-Champions-League,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0809,Aalborg,2008-11-25 Aalborg-Celtic,2008-11-25,,Group stage,Tue,Home,W,2,1,Celtic,,,,,,Konrad Plautz,/en/matches/d92eac79/Aalborg-Celtic-November-25-2008-Champions-League,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0809,Aalborg,2008-12-10 Manchester Utd-Aalborg,2008-12-10,,Group stage,Wed,Away,D,2,2,Manchester Utd,,,,,,Laurent Duhamel,/en/matches/37827162/Manchester-United-Aalborg-December-10-2008-Champions-League,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
