league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
,1920,Ajax,2019-09-22 PSV Eindhoven-Ajax,2019-09-22,16:45:00,Matchweek 7,Sun,Away,D,1,1,PSV Eindhoven,,,60,35000,Dušan Tadić,4-3-3,4-3-3,Danny Makkelie,/en/matches/b9f05453/PSV-Eindhoven-Ajax-September-22-2019-Eredivisie,,3,1,2,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,1,20,6,30.0,0.05,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,7,7,1,20,8,9,,,0,,,,
,1920,Ajax,2019-09-25 Ajax-Fortuna Sittard,2019-09-25,20:45:00,Matchweek 4,Wed,Home,W,5,0,Fortuna Sittard,,,62,53121,Dušan Tadić,4-3-3,4-4-2,Jeroen Manschot,/en/matches/f66bbf7c/Ajax-Fortuna-Sittard-September-25-2019-Eredivisie,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,4,25,13,52.0,0.16,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,8,6,4,26,11,10,,,0,,,,
,1920,Ajax,2019-09-28 Ajax-Groningen,2019-09-28,19:45:00,Matchweek 8,Sat,Home,W,2,0,Groningen,,,72,53228,Dušan Tadić,4-3-3,4-2-3-1,Björn Kuipers,/en/matches/83c425c2/Ajax-Groningen-September-28-2019-Eredivisie,,2,0,2,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,2,32,9,28.1,0.06,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,7,10,0,28,7,8,,,0,,,,
,1920,Ajax,2019-10-02 Valencia-Ajax,2019-10-02,21:00:00,Group stage,Wed,Away,W,3,0,Valencia,1.7,2.0,46,44659,Dušan Tadić,4-2-3-1,4-4-2,Daniele Orsato,/en/matches/f5105c79/Valencia-Ajax-October-2-2019-Champions-League,,4,0,4,100.0,1,0.6,0.6,1,0,0,1,6,19,31.6,21,4,52.4,39.4,10,80.0,53.0,12,2,16.7,3,12.3,3,13,6,46.2,0.23,0.5,18.9,1,0,0,1.7,1.7,0.13,1.3,1.3,400,485,82.5,5807,2253,239,261,91.6,106,124,85.5,29,54,53.7,3,1.4,1.4,8,22,16,2,44,485,445,38,9,1,1,11,16,2,0,2,0,400,2,8,26,24,0,1,0,1,0,6,6,0,0,0,0,0,17,7,7,10,0,11,27,40.7,16,9,5,4,12,29,14,0,588,59,142,264,190,31,588,14,8,57.1,6,42.9,406,1895,1079,21,21,3,7,11,399,44,6,0,0,22,6,2,11,12,7,0,1,0,52,11,10,52.4
,1920,Ajax,2019-10-06 ADO Den Haag-Ajax,2019-10-06,12:15:00,Matchweek 9,Sun,Away,W,2,0,ADO Den Haag,,,62,14733,Dušan Tadić,4-3-3,4-3-3,Kevin Blom,/en/matches/f5da8ea9/ADO-Den-Haag-Ajax-October-6-2019-Eredivisie,,1,0,1,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,2,17,7,41.2,0.12,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,15,9,4,17,11,16,,,0,,,,
,1920,Ajax,2019-10-19 RKC Waalwijk-Ajax,2019-10-19,18:30:00,Matchweek 10,Sat,Away,W,2,1,RKC Waalwijk,,,63,7508,Dušan Tadić,4-3-3,4-3-3,Allard Lindhout,/en/matches/60d18930/RKC-Waalwijk-Ajax-October-19-2019-Eredivisie,,4,1,3,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,2,19,7,36.8,0.11,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,8,1,27,4,14,,,0,,,,
,1920,Ajax,2019-10-23 Ajax-Chelsea,2019-10-23,18:55:00,Group stage,Wed,Home,L,0,1,Chelsea,0.5,1.6,52,52482,Dušan Tadić,4-2-3-1,4-3-3,Ovidiu Hațegan,/en/matches/b2a13253/Ajax-Chelsea-October-23-2019-Champions-League,,4,1,3,75.0,0,1.4,0.4,0,0,0,0,6,16,37.5,34,5,29.4,28.8,9,66.7,45.2,11,0,0.0,0,11.7,0,10,2,20.0,0.0,0.0,19.3,0,0,0,0.5,0.5,0.05,-0.5,-0.5,416,528,78.8,6879,2493,202,232,87.1,148,173,85.5,43,77,55.8,0,0.4,0.9,9,27,5,1,33,528,471,54,17,3,5,13,20,6,0,1,0,416,3,10,18,10,3,1,1,0,3,0,0,0,0,0,0,0,29,19,13,6,10,7,16,43.8,9,9,2,7,12,41,15,1,643,69,218,263,166,21,643,14,8,57.1,6,42.9,417,1974,1089,19,10,7,18,6,412,33,2,0,0,14,14,3,13,12,19,0,0,0,60,11,19,36.7
,1920,Ajax,2019-10-27 Ajax-Feyenoord,2019-10-27,16:45:00,Matchweek 11,Sun,Home,W,4,0,Feyenoord,,,65,53968,Dušan Tadić,4-2-3-1,4-3-3,Serdar Gözübüyük,/en/matches/f7c98080/De-Klassieker-Ajax-Feyenoord-October-27-2019-Eredivisie,,0,0,0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,4,19,12,63.2,0.21,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9,14,2,13,10,20,,,0,,,,
,1920,Ajax,2019-11-01 Zwolle-Ajax,2019-11-01,20:00:00,Matchweek 12,Fri,Away,W,4,2,Zwolle,,,59,14000,Dušan Tadić,4-3-3,4-3-3,Björn Kuipers,/en/matches/5d4c47ed/Zwolle-Ajax-November-1-2019-Eredivisie,,5,2,3,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,4,20,7,35.0,0.2,0.57,,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,13,9,0,12,10,12,,,0,,,,
,1920,Ajax,2019-11-05 Chelsea-Ajax,2019-11-05,20:00:00,Group stage,Tue,Away,D,4,4,Chelsea,1.0,4.8,46,39132,Dušan Tadić,4-2-3-1,4-3-3,Gianluca Rocchi,/en/matches/d7ba36ab/Chelsea-Ajax-November-5-2019-Champions-League,,9,4,5,77.8,0,5.3,1.3,2,2,0,0,7,29,24.1,34,4,64.7,45.2,9,77.8,53.4,13,0,0.0,0,3.5,2,8,5,62.5,0.25,0.4,18.9,1,0,0,1.0,1.0,0.12,1.0,1.0,274,389,70.4,4846,1834,125,149,83.9,97,116,83.6,39,88,44.3,2,0.9,0.5,6,15,6,1,21,389,332,57,14,1,2,14,23,6,1,4,0,274,0,10,16,12,1,2,0,1,0,4,4,0,0,0,0,0,19,7,9,10,0,9,34,26.5,25,8,4,4,9,28,20,0,494,82,204,188,107,10,494,15,8,53.3,7,46.7,294,1326,698,10,11,3,12,11,270,21,5,2,2,12,9,0,14,9,7,0,2,0,41,10,19,34.5
