league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ESP-La Liga,0102,Alavés,2001-08-26 Tenerife-Alavés,2001-08-26,,Matchweek 1,Sun,Away,W,2,0,Tenerife,,,,,,Undiano Mallenco,/en/matches/82db8cd7/Tenerife-Alaves-August-26-2001-La-Liga,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-09-09 Alavés-Real Sociedad,2001-09-09,,Matchweek 2,Sun,Home,W,2,0,Real Sociedad,,,,,,Mejuto González,/en/matches/d79a3eb3/Alaves-Real-Sociedad-September-9-2001-La-Liga,,,0,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-09-15 Mallorca-Alavés,2001-09-15,,Matchweek 3,Sat,Away,D,0,0,Mallorca,,,,,,Ramírez Domínguez,/en/matches/05fd8b5f/Mallorca-Alaves-September-15-2001-La-Liga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-09-22 Alavés-La Coruña,2001-09-22,,Matchweek 4,Sat,Home,L,2,3,La Coruña,,,,,,Fernández Marín,/en/matches/6c659601/Alaves-Deportivo-La-Coruna-September-22-2001-La-Liga,,,3,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,7,1,1,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-09-30 Valencia-Alavés,2001-09-30,,Matchweek 5,Sun,Away,D,0,0,Valencia,,,,,,González Vázquez,/en/matches/d1a1ef03/Valencia-Alaves-September-30-2001-La-Liga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-10-03 Alavés-Málaga,2001-10-03,,Matchweek 6,Wed,Home,W,1,0,Málaga,,,,,,Rodríguez Santiago,/en/matches/4bcc3f53/Alaves-Malaga-October-3-2001-La-Liga,,,0,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-10-07 Betis-Alavés,2001-10-07,,Matchweek 7,Sun,Away,L,0,1,Betis,,,,,,Téllez Sánchez,/en/matches/144f1ecb/Real-Betis-Alaves-October-7-2001-La-Liga,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,7,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-10-13 Alavés-Real Madrid,2001-10-13,,Matchweek 8,Sat,Home,D,0,0,Real Madrid,,,,,,Daudén Ibáñez,/en/matches/cb7b3572/Alaves-Real-Madrid-October-13-2001-La-Liga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-10-21 Valladolid-Alavés,2001-10-21,,Matchweek 9,Sun,Away,W,3,1,Valladolid,,,,,,López Nieto,/en/matches/07268791/Valladolid-Alaves-October-21-2001-La-Liga,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0102,Alavés,2001-10-28 Alavés-Las Palmas,2001-10-28,,Matchweek 10,Sun,Home,W,1,0,Las Palmas,,,,,,Ansuategui Roca,/en/matches/3a3fe89c/Alaves-Las-Palmas-October-28-2001-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
