league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ESP-La Liga,0910,Almería,2009-08-30 Almería-Valladolid,2009-08-30,,Matchweek 1,Sun,Home,D,0,0,Valladolid,,,,4-5-1,4-4-1-1,Mateu Lahoz,/en/matches/6b6b5ed8/Almeria-Valladolid-August-30-2009-La-Liga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-09-13 Sporting Gijón-Almería,2009-09-13,,Matchweek 2,Sun,Away,L,0,1,Sporting Gijón,,,,4-2-3-1,4-2-3-1,Delgado Ferreiro,/en/matches/8e9829d2/Sporting-Gijon-Almeria-September-13-2009-La-Liga,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-09-20 Almería-Getafe,2009-09-20,,Matchweek 3,Sun,Home,W,1,0,Getafe,,,,4-2-3-1,4-1-4-1,Estrada Fernández,/en/matches/b106e620/Almeria-Getafe-September-20-2009-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-09-23 Atlético Madrid-Almería,2009-09-23,,Matchweek 4,Wed,Away,D,2,2,Atlético Madrid,,,,4-2-3-1,4-4-2,Iturralde González,/en/matches/b2331d8e/Atletico-Madrid-Almeria-September-23-2009-La-Liga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-09-27 Almería-Racing Sant,2009-09-27,,Matchweek 5,Sun,Home,D,2,2,Racing Sant,,,,4-2-3-1,4-4-2,Rubinos Pérez,/en/matches/293ae82c/Almeria-Racing-Santander-September-27-2009-La-Liga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-10-03 Barcelona-Almería,2009-10-03,,Matchweek 6,Sat,Away,L,0,1,Barcelona,,,,4-2-3-1,4-3-3,Velasco Carballo,/en/matches/a5d0ad60/Barcelona-Almeria-October-3-2009-La-Liga,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-10-18 Málaga-Almería,2009-10-18,,Matchweek 7,Sun,Away,W,2,1,Málaga,,,,4-2-3-1,4-2-3-1,Mejuto González,/en/matches/23c325b9/Malaga-Almeria-October-18-2009-La-Liga,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-10-25 Almería-Valencia,2009-10-25,,Matchweek 8,Sun,Home,L,0,3,Valencia,,,,4-2-3-1,4-2-3-1,González González,/en/matches/666c9a13/Almeria-Valencia-October-25-2009-La-Liga,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-11-01 Zaragoza-Almería,2009-11-01,,Matchweek 9,Sun,Away,L,1,2,Zaragoza,,,,4-2-3-1,4-2-3-1,Álvarez Izquierdo,/en/matches/b740cd11/Zaragoza-Almeria-November-1-2009-La-Liga,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-11-08 Almería-Osasuna,2009-11-08,,Matchweek 10,Sun,Home,W,2,0,Osasuna,,,,4-2-3-1,4-4-2,Teixeira Vitienes,/en/matches/2857b712/Almeria-Osasuna-November-8-2009-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-11-22 Mallorca-Almería,2009-11-22,,Matchweek 11,Sun,Away,L,1,3,Mallorca,,,,4-2-3-1,4-4-2,Pérez Burrull,/en/matches/4baef302/Mallorca-Almeria-November-22-2009-La-Liga,,,3,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,0910,Almería,2009-11-29 Almería-Athletic Club,2009-11-29,,Matchweek 12,Sun,Home,L,1,4,Athletic Club,,,,4-2-3-1,4-2-3-1,González Vázquez,/en/matches/e3ad6f09/Almeria-Athletic-Club-November-29-2009-La-Liga,,,4,,,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
