league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ESP-La Liga,1213,Athletic Club,2012-08-19 Athletic Club-Betis,2012-08-19,,Matchweek 1,Sun,Home,L,3,5,Betis,,,,4-2-3-1,4-2-3-1,Teixeira Vitienes,/en/matches/94726613/Athletic-Club-Real-Betis-August-19-2012-La-Liga,,,5,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-08-27 Atlético Madrid-Athletic Club,2012-08-27,,Matchweek 2,Mon,Away,L,0,4,Atlético Madrid,,,,4-2-3-1,4-2-3-1,Teixeira Vitienes,/en/matches/1b82e977/Atletico-Madrid-Athletic-Club-August-27-2012-La-Liga,,,4,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-09-02 Athletic Club-Valladolid,2012-09-02,,Matchweek 3,Sun,Home,W,2,0,Valladolid,,,,4-2-3-1,4-2-3-1,Del Cerro Grande,/en/matches/c2101f90/Athletic-Club-Valladolid-September-2-2012-La-Liga,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-09-16 Espanyol-Athletic Club,2012-09-16,,Matchweek 4,Sun,Away,D,3,3,Espanyol,,,,4-2-3-1,4-2-3-1,Pérez Montero,/en/matches/864a0b58/Espanyol-Athletic-Club-September-16-2012-La-Liga,,,3,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-09-23 Athletic Club-Málaga,2012-09-23,,Matchweek 5,Sun,Home,D,0,0,Málaga,,,,4-2-3-1,4-2-3-1,Mateu Lahoz,/en/matches/3b721b94/Athletic-Club-Malaga-September-23-2012-La-Liga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-09-29 Real Sociedad-Athletic Club,2012-09-29,,Matchweek 6,Sat,Away,L,0,2,Real Sociedad,,,,4-2-3-1,4-2-3-1,Clos Gómez,/en/matches/3a4a84d9/Real-Sociedad-Athletic-Club-September-29-2012-La-Liga,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-10-07 Athletic Club-Osasuna,2012-10-07,,Matchweek 7,Sun,Home,W,1,0,Osasuna,,,,4-2-3-1,4-2-3-1,González González,/en/matches/17e53749/Athletic-Club-Osasuna-October-7-2012-La-Liga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-10-20 Valencia-Athletic Club,2012-10-20,,Matchweek 8,Sat,Away,L,2,3,Valencia,,,,4-2-3-1,4-2-3-1,Undiano Mallenco,/en/matches/289bbc86/Valencia-Athletic-Club-October-20-2012-La-Liga,,,3,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-10-28 Athletic Club-Getafe,2012-10-28,,Matchweek 9,Sun,Home,L,1,2,Getafe,,,,4-2-3-1,4-2-3-1,Gil Manzano,/en/matches/558d05cb/Athletic-Club-Getafe-October-28-2012-La-Liga,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ESP-La Liga,1213,Athletic Club,2012-11-04 Granada-Athletic Club,2012-11-04,,Matchweek 10,Sun,Away,W,2,1,Granada,,,,4-2-3-1,4-2-3-1,Muñiz Fernández,/en/matches/293cb854/Granada-Athletic-Club-November-4-2012-La-Liga,,,1,,,0,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
