league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
,0203,1860 Munich,2002-08-14 1860 Munich-Hansa Rostock,2002-08-14,,Matchweek 1,Wed,Home,L,0,2,Hansa Rostock,,,,,,Thorsten Kinhöfer,/en/matches/a666f6b4/1860-Munich-Hansa-Rostock-August-14-2002-Bundesliga,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
,0203,1860 Munich,2002-08-17 Hannover 96-1860 Munich,2002-08-17,,Matchweek 2,Sat,Away,W,3,1,Hannover 96,,,,,,Jürgen Jansen,/en/matches/c5f8751e/Hannover-96-1860-Munich-August-17-2002-Bundesliga,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0203,1860 Munich,2002-08-24 1860 Munich-Werder Bremen,2002-08-24,,Matchweek 3,Sat,Home,W,3,0,Werder Bremen,,,,,,Markus Merk,/en/matches/cf55fac3/1860-Munich-Werder-Bremen-August-24-2002-Bundesliga,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0203,1860 Munich,2002-09-10 Bayern Munich-1860 Munich,2002-09-10,,Matchweek 4,Tue,Away,L,1,3,Bayern Munich,,,,,,Jürgen Aust,/en/matches/b17578cd/Bayern-Munich-1860-Munich-September-10-2002-Bundesliga,,,3,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
,0203,1860 Munich,2002-09-14 1860 Munich-Wolfsburg,2002-09-14,,Matchweek 5,Sat,Home,D,2,2,Wolfsburg,,,,,,Hellmut Krug,/en/matches/184a4586/1860-Munich-Wolfsburg-September-14-2002-Bundesliga,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
,0203,1860 Munich,2002-09-21 Kaiserslautern-1860 Munich,2002-09-21,,Matchweek 6,Sat,Away,D,0,0,Kaiserslautern,,,,,,Knut Kircher,/en/matches/5fbc8b81/Kaiserslautern-1860-Munich-September-21-2002-Bundesliga,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
,0203,1860 Munich,2002-09-28 1860 Munich-Hertha BSC,2002-09-28,,Matchweek 7,Sat,Home,W,1,0,Hertha BSC,,,,,,Peter Gagelmann,/en/matches/e3cc7483/1860-Munich-Hertha-BSC-September-28-2002-Bundesliga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
,0203,1860 Munich,2002-10-06 Stuttgart-1860 Munich,2002-10-06,,Matchweek 8,Sun,Away,L,1,4,Stuttgart,,,,,,Jürgen Jansen,/en/matches/f97b2d36/Stuttgart-1860-Munich-October-6-2002-Bundesliga,,,4,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
,0203,1860 Munich,2002-10-19 1860 Munich-Schalke 04,2002-10-19,,Matchweek 9,Sat,Home,W,3,0,Schalke 04,,,,,,Hartmut Strampe,/en/matches/5ad46b24/1860-Munich-Schalke-04-October-19-2002-Bundesliga,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,0
,0203,1860 Munich,2002-10-26 Gladbach-1860 Munich,2002-10-26,,Matchweek 10,Sat,Away,W,1,0,Gladbach,,,,,,Lutz Wagner,/en/matches/73f48298/Monchengladbach-1860-Munich-October-26-2002-Bundesliga,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
,0203,1860 Munich,2002-11-02 1860 Munich-Arminia,2002-11-02,,Matchweek 11,Sat,Home,W,3,1,Arminia,,,,,,Uwe Kemmling,/en/matches/147e12ea/1860-Munich-Arminia-November-2-2002-Bundesliga,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
,0203,1860 Munich,2002-11-09 Hamburger SV-1860 Munich,2002-11-09,,Matchweek 12,Sat,Away,L,0,1,Hamburger SV,,,,,,Hellmut Krug,/en/matches/4b01b7b8/Hamburger-SV-1860-Munich-November-9-2002-Bundesliga,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
