league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ITA-Serie A,1415,Atalanta,2014-08-31 Atalanta-Hellas Verona,2014-08-31,18:00:00,Matchweek 1,Sun,Home,D,0,0,Hellas Verona,53,14925,,4-4-1-1,4-3-3,Nicola Rizzoli,/en/matches/032b0cdf/Atalanta-Hellas-Verona-August-31-2014-Serie-A,,5,0,,100.0,1,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-09-14 Cagliari-Atalanta,2014-09-14,15:00:00,Matchweek 2,Sun,Away,W,2,1,Cagliari,39,9100,,4-4-2,4-3-3,Angelo Cervellera,/en/matches/30d13daa/Cagliari-Atalanta-September-14-2014-Serie-A,,8,1,,100.0,0,1,1,0,0,2,,,,,,,0,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-09-21 Atalanta-Fiorentina,2014-09-21,18:00:00,Matchweek 3,Sun,Home,L,0,1,Fiorentina,49,15406,,4-4-1-1,3-5-2,Carmine Russo,/en/matches/22d38ee5/Atalanta-Fiorentina-September-21-2014-Serie-A,,6,1,,83.3,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-09-24 Inter-Atalanta,2014-09-24,20:45:00,Matchweek 4,Wed,Away,L,0,2,Inter,52,29535,,4-4-1-1,3-5-2,Andrea Gervasoni,/en/matches/7ad8ce84/Internazionale-Atalanta-September-24-2014-Serie-A,,3,2,,33.3,0,1,0,1,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-09-27 Atalanta-Juventus,2014-09-27,20:45:00,Matchweek 5,Sat,Home,L,0,3,Juventus,53,22074,,4-4-2,3-5-2,Daniele Orsato,/en/matches/f0d05ba5/Atalanta-Juventus-September-27-2014-Serie-A,,7,3,,57.1,0,0,0,0,0,0,,,,,,,0,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-10-05 Sampdoria-Atalanta,2014-10-05,15:00:00,Matchweek 6,Sun,Away,L,0,1,Sampdoria,55,20050,,4-4-1-1,4-3-3,Massimiliano Irrati,/en/matches/b3ab46bf/Sampdoria-Atalanta-October-5-2014-Serie-A,,2,1,,50.0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-10-19 Atalanta-Parma,2014-10-19,15:00:00,Matchweek 7,Sun,Home,W,1,0,Parma,48,14944,,4-3-3,3-5-2,Marco Guida,/en/matches/f5e48d34/Atalanta-Parma-October-19-2014-Serie-A,,1,0,,100.0,1,0,0,0,0,1,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-10-26 Udinese-Atalanta,2014-10-26,15:00:00,Matchweek 8,Sun,Away,L,0,2,Udinese,54,8300,,4-3-3,4-4-2,Dino Tommasi,/en/matches/c5a00a11/Udinese-Atalanta-October-26-2014-Serie-A,,2,2,,0.0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-10-29 Atalanta-Napoli,2014-10-29,20:45:00,Matchweek 9,Wed,Home,D,1,1,Napoli,33,14882,,4-5-1,4-2-3-1,Antonio Damato,/en/matches/137d22b8/Atalanta-Napoli-October-29-2014-Serie-A,,6,1,,83.3,0,2,0,1,1,1,,,,,,,0,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,1,1,,,,,,,,,0
ITA-Serie A,1415,Atalanta,2014-11-02 Torino-Atalanta,2014-11-02,15:00:00,Matchweek 10,Sun,Away,D,0,0,Torino,37,13489,,5-3-2,3-5-2,Angelo Cervellera,/en/matches/fbf6d1a0/Torino-Atalanta-November-2-2014-Serie-A,,6,0,,100.0,1,0,0,0,0,0,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
