league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ITA-Serie A,0910,Atalanta,2009-08-23 Lazio-Atalanta,2009-08-23,,Matchweek 1,Sun,Away,L,0,1,Lazio,,,,4-4-1-1,4-4-2,Nicola Pierpaoli,/en/matches/50d99cca/Lazio-Atalanta-August-23-2009-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-08-30 Atalanta-Genoa,2009-08-30,,Matchweek 2,Sun,Home,L,0,1,Genoa,,,,4-4-1-1,3-4-3,Max Saccani,/en/matches/3513e3f6/Atalanta-Genoa-August-30-2009-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-09-13 Atalanta-Sampdoria,2009-09-13,,Matchweek 3,Sun,Home,L,0,1,Sampdoria,,,,4-4-1-1,4-4-2,Gabriele Gava,/en/matches/b1a578eb/Atalanta-Sampdoria-September-13-2009-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-09-20 Bari-Atalanta,2009-09-20,,Matchweek 4,Sun,Away,L,1,4,Bari,,,,4-4-2,4-4-2,Dino Tommasi,/en/matches/c421d438/Bari-Atalanta-September-20-2009-Serie-A,,,4,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-09-23 Atalanta-Catania,2009-09-23,,Matchweek 5,Wed,Home,D,0,0,Catania,,,,4-4-2,4-3-3,Andrea De Marco,/en/matches/634e6b20/Atalanta-Catania-September-23-2009-Serie-A,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-09-27 Chievo-Atalanta,2009-09-27,,Matchweek 6,Sun,Away,D,1,1,Chievo,,,,4-4-1-1,4-1-2-1-2,Maurizio Ciampi,/en/matches/ea209dd7/Chievo-Atalanta-September-27-2009-Serie-A,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-10-04 Atalanta-Milan,2009-10-04,,Matchweek 7,Sun,Home,D,1,1,Milan,,,,4-4-2,4-4-2,Gianluca Rocchi,/en/matches/8fb0ea77/Atalanta-Milan-October-4-2009-Serie-A,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-10-18 Udinese-Atalanta,2009-10-18,,Matchweek 8,Sun,Away,W,3,1,Udinese,,,,4-4-2,4-4-2,Nicola Pierpaoli,/en/matches/2e718436/Udinese-Atalanta-October-18-2009-Serie-A,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-10-25 Atalanta-Parma,2009-10-25,,Matchweek 9,Sun,Home,W,3,1,Parma,,,,4-4-2,5-3-2,Andrea Romeo,/en/matches/4381fce6/Atalanta-Parma-October-25-2009-Serie-A,,,1,,,0,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-10-28 Livorno-Atalanta,2009-10-28,,Matchweek 10,Wed,Away,L,0,1,Livorno,,,,4-4-2,3-5-2,Mauro Bergonzi,/en/matches/a9a5d93d/Livorno-Atalanta-October-28-2009-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-11-01 Cagliari-Atalanta,2009-11-01,,Matchweek 11,Sun,Away,L,0,3,Cagliari,,,,4-4-2,4-1-2-1-2,Massimiliano Velotto,/en/matches/e7acbf70/Cagliari-Atalanta-November-1-2009-Serie-A,,,3,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-11-07 Atalanta-Juventus,2009-11-07,,Matchweek 12,Sat,Home,L,2,5,Juventus,,,,4-4-2,4-2-3-1,Emidio Morganti,/en/matches/c348af6b/Atalanta-Juventus-November-7-2009-Serie-A,,,5,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-11-22 Siena-Atalanta,2009-11-22,,Matchweek 13,Sun,Away,W,2,0,Siena,,,,4-4-2,4-4-2,Antonio Giannoccaro,/en/matches/b5a7ea45/Siena-Atalanta-November-22-2009-Serie-A,,,0,,,1,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-11-29 Atalanta-Roma,2009-11-29,,Matchweek 14,Sun,Home,L,1,2,Roma,,,,4-4-2,4-2-3-1,Paolo Tagliavento,/en/matches/ce5b48ba/Atalanta-Roma-November-29-2009-Serie-A,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-12-06 Fiorentina-Atalanta,2009-12-06,,Matchweek 15,Sun,Away,L,0,2,Fiorentina,,,,4-4-2,4-2-3-1,Domenico Celi,/en/matches/8003c43a/Fiorentina-Atalanta-December-6-2009-Serie-A,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,0
ITA-Serie A,0910,Atalanta,2009-12-13 Atalanta-Inter,2009-12-13,,Matchweek 16,Sun,Home,D,1,1,Inter,,,,4-1-4-1,4-2-3-1,Nicola Rizzoli,/en/matches/5e9e3180/Atalanta-Internazionale-December-13-2009-Serie-A,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
