league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
ITA-Serie A,2425,Atalanta,2024-08-19 Lecce-Atalanta,2024-08-19,18:30:00,Matchweek 1,Mon,Away,W,4,0,Lecce,1.7,1.5,52,28719,Marten de Roon,3-4-1-2,4-2-3-1,Davide Massa,/en/matches/5b248995/Lecce-Atalanta-August-19-2024-Serie-A,,4,0,4,100.0,1,0.7,0.7,0,0,0,0,4,20,20.0,19,4,36.8,33.1,14,92.9,56.9,15,0,0.0,1,17.5,4,10,5,50.0,0.3,0.6,13.4,0,1,1,1.7,0.9,0.1,2.3,2.1,411,498,82.5,7691,2193,170,193,88.1,185,207,89.4,54,86,62.8,2,0.6,0.7,7,42,7,3,37,498,456,41,10,1,4,15,13,3,0,3,0,411,1,6,18,13,1,0,3,1,0,7,5,0,0,1,1,0,10,6,7,3,0,2,6,33.3,4,7,4,3,12,22,16,0,595,49,165,334,101,19,594,17,6,35.3,8,47.1,331,1751,897,16,11,3,16,11,408,36,2,0,0,24,10,1,15,12,6,1,0,0,46,20,23,46.5
ITA-Serie A,2425,Atalanta,2024-08-25 Torino-Atalanta,2024-08-25,18:30:00,Matchweek 2,Sun,Away,L,1,2,Torino,3.0,2.4,58,20451,Marten de Roon,3-4-3,3-5-2,Antonio Rapuano,/en/matches/324b2f87/Torino-Atalanta-August-25-2024-Serie-A,,6,2,4,66.7,0,2.0,0.0,0,0,0,0,1,4,25.0,24,4,12.5,29.8,8,12.5,22.9,9,0,0.0,0,12.7,1,24,8,33.3,0.04,0.13,16.0,1,0,1,3.0,2.2,0.1,-2.0,-1.2,427,509,83.9,7637,2551,183,203,90.1,198,231,85.7,42,64,65.6,1,1.8,1.2,18,39,18,6,52,509,464,45,10,0,5,26,18,6,1,2,0,427,0,3,43,32,1,2,4,2,2,2,2,0,0,0,0,0,8,5,3,4,1,5,8,62.5,3,10,3,7,6,14,9,1,596,56,164,225,210,40,595,6,2,33.3,4,66.7,342,1841,959,16,18,7,11,9,424,51,4,0,0,14,11,0,26,6,5,1,0,0,35,17,9,65.4
ITA-Serie A,2425,Atalanta,2024-08-30 Inter-Atalanta,2024-08-30,20:45:00,Matchweek 3,Fri,Away,L,0,4,Inter,1.4,1.3,45,71745,Marten de Roon,3-4-3,3-5-2,Matteo Marchetti,/en/matches/adc30b79/Internazionale-Atalanta-August-30-2024-Serie-A,,4,4,1,0.0,0,1.9,-1.1,0,0,0,0,1,11,9.1,21,6,28.6,34.9,5,100.0,64.6,7,0,0.0,1,35.0,0,11,1,9.1,0.0,0.0,17.1,0,0,0,1.4,1.4,0.12,-1.4,-1.4,396,456,86.8,6666,2029,175,188,93.1,192,207,92.8,25,46,54.3,0,0.6,1.1,9,32,9,3,44,456,413,42,11,1,1,19,17,4,2,0,0,396,1,8,18,16,0,1,1,0,0,0,0,0,0,0,0,0,13,9,4,8,1,7,11,63.6,4,7,4,3,5,18,11,1,537,53,139,211,193,18,537,12,5,41.7,7,58.3,344,1805,905,22,16,5,14,10,393,44,2,0,0,15,6,1,19,5,9,0,0,1,25,8,8,50.0
ITA-Serie A,2425,Atalanta,2024-09-15 Atalanta-Fiorentina,2024-09-15,15:00:00,Matchweek 4,Sun,Home,W,3,2,Fiorentina,1.7,1.7,51,22705,Marten de Roon,3-4-3,3-4-3,Juan Luca Sacchi,/en/matches/c69565c7/Atalanta-Fiorentina-September-15-2024-Serie-A,,5,2,3,60.0,0,1.8,-0.2,0,0,0,0,4,16,25.0,27,3,37.0,34.0,6,100.0,63.7,11,2,18.2,0,4.7,3,13,7,53.8,0.23,0.43,13.6,0,0,0,1.7,1.7,0.13,1.3,1.3,365,457,79.9,6350,2376,149,163,91.4,166,189,87.8,34,70,48.6,3,1.6,1.0,12,27,9,4,38,457,402,53,19,1,3,14,20,5,2,2,0,365,2,6,24,20,0,4,0,0,0,6,5,0,1,0,0,0,14,8,6,5,3,8,15,53.3,7,16,3,13,5,19,18,1,561,45,179,276,115,20,561,15,6,40.0,8,53.3,296,1505,760,15,11,5,17,9,359,38,2,0,0,16,15,2,14,5,8,0,0,0,38,22,17,56.4
ITA-Serie A,2425,Atalanta,2024-09-24 Atalanta-Como,2024-09-24,20:45:00,Matchweek 5,Tue,Home,L,2,3,Como,1.6,1.1,59,22977,Marten de Roon,3-4-1-2,4-2-3-1,Paride Tremolada,/en/matches/3e592227/Atalanta-Como-September-24-2024-Serie-A,,7,3,5,57.1,0,2.2,0.2,0,0,0,0,6,12,50.0,21,2,38.1,36.0,7,57.1,42.9,6,1,16.7,2,16.8,2,7,4,57.1,0.14,0.25,20.0,0,1,1,1.6,0.8,0.11,0.4,0.2,487,583,83.5,9503,2837,162,186,87.1,276,310,89.0,47,72,65.3,0,0.6,0.7,3,50,11,2,71,583,531,52,16,0,4,29,19,6,3,3,0,487,0,7,15,12,0,2,0,1,0,3,2,0,0,0,1,0,14,7,6,6,2,3,7,42.9,4,13,3,10,6,20,9,0,687,42,130,335,227,25,686,25,10,40.0,11,44.0,448,2434,1267,22,27,3,13,18,484,71,1,0,0,12,16,0,29,6,7,1,0,1,41,22,13,62.9
ITA-Serie A,2425,Atalanta,2024-09-28 Bologna-Atalanta,2024-09-28,20:45:00,Matchweek 6,Sat,Away,D,1,1,Bologna,2.0,0.1,64,27126,Marten de Roon,3-4-1-2,4-3-3,Antonio Rapuano,/en/matches/5ebd3c92/Bologna-Atalanta-September-28-2024-Serie-A,,1,1,0,0.0,0,0.2,-0.8,0,0,0,0,2,7,28.6,18,1,22.2,29.4,5,60.0,50.4,5,0,0.0,6,28.0,1,23,4,17.4,0.04,0.25,16.2,0,0,0,2.0,2.0,0.09,-1.0,-1.0,474,569,83.3,8473,2851,201,228,88.2,231,257,89.9,37,59,62.7,1,1.5,2.0,18,33,14,1,67,569,515,53,19,3,2,25,18,9,4,2,0,474,1,11,42,27,6,1,6,1,1,2,2,0,0,0,0,0,18,12,5,11,2,9,15,60.0,6,8,3,5,10,28,15,1,671,34,155,295,230,47,671,18,8,44.4,10,55.6,339,2126,1278,38,30,8,12,7,472,67,3,0,0,12,15,1,25,10,12,0,0,0,54,23,13,63.9
ITA-Serie A,2425,Atalanta,2024-10-05 Atalanta-Genoa,2024-10-05,18:00:00,Matchweek 7,Sat,Home,W,5,1,Genoa,3.6,0.7,63,23138,Marten de Roon,3-4-3,3-5-2,Daniele Chiffi,/en/matches/b1035fb5/Atalanta-Genoa-October-5-2024-Serie-A,,2,1,1,50.0,0,1.3,0.3,0,0,0,0,2,6,33.3,22,3,22.7,30.4,1,100.0,46.0,8,0,0.0,2,19.0,5,22,7,31.8,0.18,0.57,15.3,0,1,1,3.6,2.9,0.13,1.4,1.1,538,615,87.5,9628,2816,223,244,91.4,252,277,91.0,51,71,71.8,2,2.4,2.6,18,48,12,1,51,615,578,36,15,2,2,18,14,4,2,2,0,538,1,8,41,30,4,1,4,2,0,8,6,0,0,2,0,0,10,7,2,7,1,4,7,57.1,3,6,2,4,15,25,12,0,719,35,135,327,263,40,718,19,8,42.1,11,57.9,460,1935,949,17,20,7,15,6,536,50,0,0,0,9,13,1,18,15,7,0,0,0,50,7,12,36.8
ITA-Serie A,2425,Atalanta,2024-10-20 Venezia-Atalanta,2024-10-20,15:00:00,Matchweek 8,Sun,Away,W,2,0,Venezia,1.4,0.8,57,11979,Marten de Roon,3-4-3,3-4-3,Luca Zufferli,/en/matches/2ec189f4/Venezia-Atalanta-October-20-2024-Serie-A,,4,0,4,100.0,1,0.1,0.1,0,0,0,0,8,24,33.3,41,4,39.0,34.2,9,88.9,62.9,8,1,12.5,2,14.7,2,16,7,43.8,0.13,0.29,15.7,0,0,0,1.4,1.4,0.09,0.6,0.6,436,540,80.7,8241,2923,178,201,88.6,201,232,86.6,50,89,56.2,1,1.2,0.7,14,34,11,2,50,540,491,47,14,2,2,13,18,5,3,2,0,436,2,8,31,21,3,3,2,1,1,4,4,0,0,0,0,0,12,11,6,5,1,8,19,42.1,11,6,1,5,8,20,19,1,644,79,242,278,128,26,644,18,6,33.3,9,50.0,327,1632,729,22,9,7,18,6,434,49,1,0,0,6,11,2,13,8,11,0,0,0,51,16,13,55.2
ITA-Serie A,2425,Atalanta,2024-10-26 Atalanta-Hellas Verona,2024-10-26,20:45:00,Matchweek 9,Sat,Home,W,6,1,Hellas Verona,2.4,0.2,69,23015,Marten de Roon,3-4-3,3-4-3,Ermanno Feliciani,/en/matches/8e432430/Atalanta-Hellas-Verona-October-26-2024-Serie-A,,2,1,1,50.0,0,0.7,-0.3,0,0,0,0,0,6,0.0,27,5,18.5,28.4,5,20.0,26.4,6,1,16.7,2,11.9,6,19,10,52.6,0.32,0.6,15.3,0,0,0,2.4,2.4,0.13,3.6,3.6,730,812,89.9,11955,3166,357,381,93.7,326,353,92.4,36,56,64.3,4,1.8,1.9,13,59,13,3,66,812,772,39,17,1,4,11,11,4,2,2,0,730,1,7,34,30,1,1,2,0,0,10,7,1,0,2,0,0,15,10,8,6,1,10,17,58.8,7,5,0,5,6,21,7,0,905,43,181,455,271,29,905,22,8,36.4,11,50.0,539,2429,1433,22,27,8,7,15,728,66,0,0,0,3,15,1,11,6,10,0,0,0,52,12,13,48.0
ITA-Serie A,2425,Atalanta,2024-10-30 Atalanta-Monza,2024-10-30,20:45:00,Matchweek 10,Wed,Home,W,2,0,Monza,1.2,0.1,53,22142,Marten de Roon,3-4-3,3-4-3,Marco Piccinini,/en/matches/75f96018/Atalanta-Monza-October-30-2024-Serie-A,,3,0,3,100.0,1,0.1,0.1,0,0,0,0,6,13,46.2,25,2,44.0,37.2,3,66.7,53.7,5,0,0.0,2,15.8,2,16,5,31.3,0.13,0.4,19.1,2,0,0,1.2,1.2,0.08,0.8,0.8,473,566,83.6,8699,3136,192,215,89.3,226,260,86.9,47,75,62.7,2,0.8,0.9,13,65,13,0,73,566,524,42,12,0,2,19,21,5,2,2,0,473,0,7,29,19,4,2,2,2,0,4,4,0,0,0,0,0,17,11,4,12,1,8,14,57.1,6,8,0,8,6,23,13,0,671,38,138,299,241,30,671,21,10,47.6,9,42.9,425,2030,948,29,21,8,18,11,472,73,2,0,0,14,11,0,19,6,11,0,0,0,50,15,12,55.6
