league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ITA-Serie A,1011,Bari,2010-08-29 Bari-Juventus,2010-08-29,,Matchweek 1,Sun,Home,W,1,0,Juventus,,,,4-4-2,4-4-2,Luca Banti,/en/matches/852b1424/Bari-Juventus-August-29-2010-Serie-A,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-09-12 Napoli-Bari,2010-09-12,,Matchweek 2,Sun,Away,D,2,2,Napoli,,,,4-4-2,3-4-3,Andrea De Marco,/en/matches/80f35463/Napoli-Bari-September-12-2010-Serie-A,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-09-19 Bari-Cagliari,2010-09-19,,Matchweek 3,Sun,Home,D,0,0,Cagliari,,,,4-4-2,4-1-2-1-2,Andrea Gervasoni,/en/matches/90585dd9/Bari-Cagliari-September-19-2010-Serie-A,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-09-22 Inter-Bari,2010-09-22,,Matchweek 4,Wed,Away,L,0,4,Inter,,,,4-4-2,4-2-3-1,Paolo Mazzoleni,/en/matches/f48a9fc1/Internazionale-Bari-September-22-2010-Serie-A,,,4,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-09-26 Bari-Brescia,2010-09-26,,Matchweek 5,Sun,Home,W,2,1,Brescia,,,,4-4-2,4-1-2-1-2,Marco Guida,/en/matches/2c853acb/Bari-Brescia-September-26-2010-Serie-A,,,1,,,0,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-10-03 Genoa-Bari,2010-10-03,,Matchweek 6,Sun,Away,L,1,2,Genoa,,,,4-4-2,3-4-3,Antonio Giannoccaro,/en/matches/ef044fb0/Genoa-Bari-October-3-2010-Serie-A,,,2,,,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-10-17 Bari-Lazio,2010-10-17,,Matchweek 7,Sun,Home,L,0,2,Lazio,,,,4-4-2,4-2-3-1,Gianluca Rocchi,/en/matches/6810e81f/Bari-Lazio-October-17-2010-Serie-A,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-10-23 Fiorentina-Bari,2010-10-23,,Matchweek 8,Sat,Away,L,1,2,Fiorentina,,,,4-4-2,4-2-3-1,Emidio Morganti,/en/matches/41a8a3db/Fiorentina-Bari-October-23-2010-Serie-A,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-10-31 Bari-Udinese,2010-10-31,,Matchweek 9,Sun,Home,L,0,2,Udinese,,,,4-4-2,3-5-2,Nicola Pierpaoli,/en/matches/2d52d895/Bari-Udinese-October-31-2010-Serie-A,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,1011,Bari,2010-11-07 Bari-Milan,2010-11-07,,Matchweek 10,Sun,Home,L,2,3,Milan,,,,4-4-2,4-1-2-1-2,Mauro Bergonzi,/en/matches/9c8ba763/Bari-Milan-November-7-2010-Serie-A,,,3,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
