league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ITA-Serie A,0809,Atalanta,2008-08-31 Atalanta-Siena,2008-08-31,,Matchweek 1,Sun,Home,W,1,0,Siena,,,,4-4-1-1,4-1-2-1-2,Carmine Russo,/en/matches/6e8e0fbd/Atalanta-Siena-August-31-2008-Serie-A,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-09-14 Bologna-Atalanta,2008-09-14,,Matchweek 2,Sun,Away,W,1,0,Bologna,,,,4-4-1-1,4-4-2,Paolo Valeri,/en/matches/13a4592c/Bologna-Atalanta-September-14-2008-Serie-A,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-09-20 Catania-Atalanta,2008-09-20,,Matchweek 3,Sat,Away,L,0,1,Catania,,,,4-4-1-1,4-2-3-1,Maurizio Ciampi,/en/matches/e20e6caa/Catania-Atalanta-September-20-2008-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-09-24 Atalanta-Cagliari,2008-09-24,,Matchweek 4,Wed,Home,W,1,0,Cagliari,,,,4-4-1-1,4-1-2-1-2,Nicola Stefanini,/en/matches/29977804/Atalanta-Cagliari-September-24-2008-Serie-A,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-09-28 Roma-Atalanta,2008-09-28,,Matchweek 5,Sun,Away,L,0,2,Roma,,,,4-4-1-1,4-2-3-1,Paolo Tagliavento,/en/matches/ab728e41/Roma-Atalanta-September-28-2008-Serie-A,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-10-05 Atalanta-Sampdoria,2008-10-05,,Matchweek 6,Sun,Home,W,4,2,Sampdoria,,,,4-4-1-1,3-5-2,Oscar Girardi,/en/matches/d0f7a24d/Atalanta-Sampdoria-October-5-2008-Serie-A,,,2,,,0,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-10-19 Chievo-Atalanta,2008-10-19,,Matchweek 7,Sun,Away,D,1,1,Chievo,,,,4-4-1-1,4-1-2-1-2,Paolo Valeri,/en/matches/00d10b35/Chievo-Atalanta-October-19-2008-Serie-A,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-10-26 Atalanta-Milan,2008-10-26,,Matchweek 8,Sun,Home,L,0,1,Milan,,,,4-4-1-1,4-3-2-1,Stefano Farina,/en/matches/5904667a/Atalanta-Milan-October-26-2008-Serie-A,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-10-29 Torino-Atalanta,2008-10-29,,Matchweek 9,Wed,Away,L,1,2,Torino,,,,4-4-1-1,4-4-2,Andrea De Marco,/en/matches/1d901717/Torino-Atalanta-October-29-2008-Serie-A,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ITA-Serie A,0809,Atalanta,2008-11-02 Atalanta-Lecce,2008-11-02,,Matchweek 10,Sun,Home,D,0,0,Lecce,,,,4-4-1-1,4-4-2,Luca Marelli,/en/matches/31574a90/Atalanta-Lecce-November-2-2008-Serie-A,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
