league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
FRA-Ligue 1,0203,Ajaccio,2002-08-03 Strasbourg-Ajaccio,2002-08-03,,Matchweek 1,Sat,Away,D,1,1,Strasbourg,,,,,,Bruno Coué,/en/matches/eecebd08/Strasbourg-Ajaccio-August-3-2002-Ligue-1,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,1
FRA-Ligue 1,0203,Ajaccio,2002-08-10 Ajaccio-Guingamp,2002-08-10,,Matchweek 2,Sat,Home,L,0,2,Guingamp,,,,,,Patrick Lhermite,/en/matches/817b3cd5/Ajaccio-Guingamp-August-10-2002-Ligue-1,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-08-17 Paris S-G-Ajaccio,2002-08-17,,Matchweek 3,Sat,Away,D,2,2,Paris S-G,,,,,,Thierry Auriac,/en/matches/09287e59/Paris-Saint-Germain-Ajaccio-August-17-2002-Ligue-1,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-08-24 Ajaccio-Sedan,2002-08-24,,Matchweek 4,Sat,Home,W,1,0,Sedan,,,,,,Bruno Ruffray,/en/matches/0bb57ef0/Ajaccio-Sedan-August-24-2002-Ligue-1,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-08-31 Troyes-Ajaccio,2002-08-31,,Matchweek 5,Sat,Away,L,0,1,Troyes,,,,,,Ameziane Khendek,/en/matches/604a3e03/Troyes-Ajaccio-August-31-2002-Ligue-1,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-09-11 Ajaccio-Montpellier,2002-09-11,,Matchweek 6,Wed,Home,D,0,0,Montpellier,,,,,,Pascal Viléo,/en/matches/4596ab86/Ajaccio-Montpellier-September-11-2002-Ligue-1,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-09-15 Bastia-Ajaccio,2002-09-15,,Matchweek 7,Sun,Away,W,2,1,Bastia,,,,,,Gilles Veissière,/en/matches/8bca5edd/Bastia-Ajaccio-September-15-2002-Ligue-1,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-09-21 Ajaccio-Sochaux,2002-09-21,,Matchweek 8,Sat,Home,L,0,1,Sochaux,,,,,,Bruno Derrien,/en/matches/11b55785/Ajaccio-Sochaux-September-21-2002-Ligue-1,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-09-27 Marseille-Ajaccio,2002-09-27,,Matchweek 9,Fri,Away,L,1,3,Marseille,,,,,,Damien Ledentu,/en/matches/3dafe9f8/Marseille-Ajaccio-September-27-2002-Ligue-1,,,3,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-10-05 Ajaccio-Nantes,2002-10-05,,Matchweek 10,Sat,Home,W,1,0,Nantes,,,,,,Éric Poulat,/en/matches/6a5f55b4/Ajaccio-Nantes-October-5-2002-Ligue-1,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-10-19 Lens-Ajaccio,2002-10-19,,Matchweek 11,Sat,Away,D,1,1,Lens,,,,,,Jean-Marc Bonnin,/en/matches/2659cd30/Lens-Ajaccio-October-19-2002-Ligue-1,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-10-26 Ajaccio-Lyon,2002-10-26,,Matchweek 12,Sat,Home,L,0,1,Lyon,,,,,,Bertrand Layec,/en/matches/af06358e/Ajaccio-Lyon-October-26-2002-Ligue-1,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-11-02 Rennes-Ajaccio,2002-11-02,,Matchweek 13,Sat,Away,D,0,0,Rennes,,,,,,Bruno Ruffray,/en/matches/545d32f2/Rennes-Ajaccio-November-2-2002-Ligue-1,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-11-07 Ajaccio-Auxerre,2002-11-07,,Matchweek 14,Thu,Home,W,1,0,Auxerre,,,,,,Gilles Veissière,/en/matches/667dbefd/Ajaccio-Auxerre-November-7-2002-Ligue-1,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-11-14 Monaco-Ajaccio,2002-11-14,,Matchweek 15,Thu,Away,L,2,3,Monaco,,,,,,Pascal Viléo,/en/matches/8a3e2c22/Monaco-Ajaccio-November-14-2002-Ligue-1,,,3,,,0,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
FRA-Ligue 1,0203,Ajaccio,2002-11-23 Bordeaux-Ajaccio,2002-11-23,,Matchweek 16,Sat,Away,L,0,1,Bordeaux,,,,,,Hervé Piccirillo,/en/matches/53b2ee96/Bordeaux-Ajaccio-November-23-2002-Ligue-1,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
