league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Performance PSxG,Performance PSxG+/-,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Launched Cmp,Launched Att,Launched Cmp%,Passes Att (GK),Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper AvgDist,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
FRA-Ligue 1,2324,Brest,2023-11-05 Monaco-Brest,2023-11-05,17:05:00,Matchweek 11,Sun,Away,L,0,2,Monaco,0.8,0.8,54,9244,Brendan Chardonnet,4-3-3,3-4-3,Eric Wattellier,/en/matches/ef59a003/Monaco-Brest-November-5-2023-Ligue-1,,6,2,4,66.7,0,0.8,-1.2,0,0,0,0,8,15,53.3,30,8,40.0,33.7,5,60.0,41.2,12,1,8.3,1,9.9,0,15,1,6.7,0.0,0.0,17.0,0,0,0,0.8,0.8,0.06,-0.8,-0.8,392,501,78.2,7811,2691,151,186,81.2,163,191,85.3,66,102,64.7,0,0.6,0.9,11,31,8,3,35,501,452,47,15,1,8,22,20,4,4,0,0,392,2,11,23,15,2,0,3,2,1,0,0,0,0,0,0,0,17,11,6,5,6,7,17,41.2,10,10,3,7,7,24,12,3,614,61,191,268,162,23,614,28,12,42.9,13,46.4,440,2477,1067,15,13,0,17,7,390,35,4,1,1,11,15,2,22,7,11,0,0,0,58,11,12,47.8
FRA-Ligue 1,2324,Brest,2023-11-26 Montpellier-Brest,2023-11-26,15:00:00,Matchweek 13,Sun,Away,W,3,1,Montpellier,1.7,1.7,47,12311,Brendan Chardonnet,4-3-3,4-2-3-1,Pierre Gaillouste,/en/matches/e4cca984/Montpellier-Brest-November-26-2023-Ligue-1,,5,1,4,100.0,0,1.3,0.3,1,1,0,0,9,23,39.1,23,3,56.5,41.7,10,100.0,59.9,26,3,11.5,0,8.3,2,17,5,29.4,0.12,0.4,16.6,0,0,0,1.7,1.7,0.1,0.3,0.3,311,436,71.3,5544,2485,143,179,79.9,105,136,77.2,45,84,53.6,2,1.6,1.5,14,21,3,0,35,436,391,43,12,1,4,15,18,1,0,1,0,311,2,14,32,24,2,4,0,2,0,4,2,1,0,0,1,0,22,11,12,9,1,13,21,61.9,8,15,4,11,12,34,40,0,600,82,217,257,134,22,600,26,14,53.8,10,38.5,308,1791,876,26,18,5,18,9,306,35,2,0,0,18,11,2,15,12,11,0,1,0,61,27,17,61.4
FRA-Ligue 1,2324,Brest,2023-12-03 Brest-Clermont Foot,2023-12-03,15:00:00,Matchweek 14,Sun,Home,W,3,0,Clermont Foot,1.4,0.8,57,14324,Brendan Chardonnet,4-3-3,3-4-3,Marc Bollengier,/en/matches/9f17a676/Brest-Clermont-Foot-December-3-2023-Ligue-1,,1,0,1,100.0,1,0.1,0.1,0,0,0,0,4,9,44.4,28,5,17.9,28.7,6,66.7,50.7,13,2,15.4,0,9.3,3,11,6,54.5,0.18,0.33,22.4,0,1,1,1.4,0.6,0.06,1.6,1.4,509,621,82.0,9876,3227,209,233,89.7,198,226,87.6,89,129,69.0,2,0.6,0.4,9,40,6,1,34,621,572,47,17,0,9,17,19,4,2,1,0,509,2,12,20,16,0,2,1,0,1,5,4,0,0,1,0,0,14,7,6,7,1,6,19,31.6,13,19,5,14,12,26,17,0,737,69,232,366,143,23,736,24,13,54.2,10,41.7,558,3138,1343,20,15,6,15,13,504,34,1,0,0,11,15,2,17,12,7,0,0,0,61,14,13,51.9
FRA-Ligue 1,2324,Brest,2023-12-07 Brest-Strasbourg,2023-12-07,20:30:00,Matchweek 12,Thu,Home,D,1,1,Strasbourg,1.1,1.5,61,14569,Hugo Magnetti,4-3-3,4-2-3-1,Jérémie Pignard,/en/matches/52a1fcfd/Brest-Strasbourg-December-7-2023-Ligue-1,,5,1,4,80.0,0,1.3,0.3,0,0,0,0,4,8,50.0,30,6,20.0,28.9,6,33.3,37.3,5,0,0.0,4,31.8,1,13,3,23.1,0.08,0.33,17.0,0,0,0,1.1,1.1,0.08,-0.1,-0.1,504,618,81.6,9403,3375,207,237,87.3,207,238,87.0,69,103,67.0,1,0.8,1.0,11,40,10,6,44,618,560,58,19,0,5,36,25,6,3,3,0,504,0,14,25,20,2,0,1,2,0,2,2,0,0,0,0,0,12,8,4,6,2,5,16,31.3,11,5,2,3,10,22,13,0,717,56,190,313,217,27,717,29,13,44.8,12,41.4,529,3011,1338,18,23,3,17,4,500,43,1,0,0,11,18,0,36,10,8,0,0,0,44,24,21,53.3
FRA-Ligue 1,2324,Brest,2023-12-10 Metz-Brest,2023-12-10,15:00:00,Matchweek 15,Sun,Away,W,1,0,Metz,0.3,0.2,67,20157,Brendan Chardonnet,4-3-3,4-2-3-1,Romain Lissorgue,/en/matches/e1a3d53e/Metz-Brest-December-10-2023-Ligue-1,,3,0,3,100.0,1,0.5,0.5,0,0,0,0,5,11,45.5,27,1,33.3,35.0,4,50.0,45.8,11,1,9.1,0,10.3,1,4,3,75.0,0.25,0.33,17.2,0,0,0,0.3,0.3,0.08,0.7,0.7,543,673,80.7,11009,3366,181,213,85.0,272,319,85.3,80,125,64.0,1,0.2,0.4,3,51,4,3,61,673,626,45,17,0,5,27,21,2,1,1,0,543,2,9,8,7,1,0,0,0,0,2,2,0,0,0,0,0,36,22,16,15,5,25,37,67.6,12,9,1,8,12,48,19,1,798,49,197,416,194,13,798,14,4,28.6,10,71.4,586,3629,1682,23,20,2,14,9,537,59,2,0,0,16,13,2,27,12,22,0,0,0,67,26,16,61.9
FRA-Ligue 1,2324,Brest,2023-12-17 Nantes-Brest,2023-12-17,13:00:00,Matchweek 16,Sun,Away,W,2,0,Nantes,1.9,1.0,49,30075,Brendan Chardonnet,4-3-3,4-2-3-1,Benoît Millot,/en/matches/17503b00/Nantes-Brest-December-17-2023-Ligue-1,,4,0,4,100.0,1,0.8,0.8,0,0,0,0,11,21,52.4,33,6,45.5,36.8,7,85.7,54.0,23,0,0.0,0,,2,14,7,50.0,0.14,0.29,13.9,0,0,0,1.9,1.9,0.15,0.1,0.1,437,537,81.4,9103,2985,167,192,87.0,176,198,88.9,87,127,68.5,1,0.7,0.5,9,24,3,0,32,537,483,54,15,0,10,9,28,3,0,2,0,437,0,11,20,11,2,3,4,0,0,3,2,0,0,1,0,0,25,14,13,9,3,14,23,60.9,9,11,2,9,7,32,26,1,684,82,272,292,128,23,684,32,16,50.0,16,50.0,478,2466,1094,17,14,9,16,9,431,31,3,0,0,8,13,0,9,7,14,0,0,0,59,15,12,55.6
FRA-Ligue 1,2324,Brest,2023-12-20 Brest-Lorient,2023-12-20,21:00:00,Matchweek 17,Wed,Home,W,4,0,Lorient,2.0,0.5,59,14544,Brendan Chardonnet,4-3-3,4-2-3-1,Mathieu Vernice,/en/matches/0f7c086f/Brest-Lorient-December-20-2023-Ligue-1,,3,0,3,100.0,1,0.6,0.6,0,0,0,0,4,13,30.8,47,7,23.4,29.7,4,50.0,37.5,4,0,0.0,0,16.5,4,11,7,63.6,0.36,0.57,17.7,0,0,0,2.0,2.0,0.18,2.0,2.0,540,653,82.7,9929,2936,211,239,88.3,261,284,91.9,55,109,50.5,3,1.8,0.8,9,32,4,0,37,653,607,45,21,0,5,13,18,1,0,1,0,540,1,6,18,16,1,0,1,0,0,5,4,0,0,1,0,0,17,9,8,9,0,10,24,41.7,14,5,1,4,5,22,12,0,741,72,256,369,120,15,741,16,6,37.5,6,37.5,569,2792,1108,12,9,2,15,7,535,37,1,0,0,8,16,1,13,5,9,0,0,0,55,13,15,46.4
FRA-Ligue 1,2324,Brest,2024-01-14 Brest-Montpellier,2024-01-14,15:00:00,Matchweek 18,Sun,Home,W,2,0,Montpellier,3.4,0.4,65,12712,Brendan Chardonnet,4-3-3,5-3-2,Jérémie Pignard,/en/matches/82c3efb7/Brest-Montpellier-January-14-2024-Ligue-1,,4,0,4,100.0,1,1.0,1.0,0,0,0,0,5,10,50.0,29,7,31.0,33.3,1,100.0,64.0,7,0,0.0,4,18.8,2,26,9,34.6,0.08,0.22,16.9,0,0,0,3.4,3.4,0.13,-1.4,-1.4,543,650,83.5,10145,3881,221,259,85.3,235,258,91.1,69,103,67.0,2,2.6,2.7,21,57,10,5,56,650,597,52,9,2,4,37,38,3,0,3,0,543,1,10,44,26,4,7,2,3,2,4,3,0,1,0,0,0,18,16,4,10,4,9,20,45.0,11,14,3,11,7,25,22,0,796,48,181,405,223,27,796,36,20,55.6,12,33.3,578,3811,1596,26,22,3,17,16,541,56,1,0,0,6,7,1,37,7,16,0,0,0,55,18,12,60.0
FRA-Ligue 1,2324,Brest,2024-01-28 Paris S-G-Brest,2024-01-28,20:45:00,Matchweek 19,Sun,Away,D,2,2,Paris S-G,0.7,2.1,46,47000,Brendan Chardonnet,4-3-3,4-3-3,Clément Turpin,/en/matches/8e2d796d/Paris-Saint-Germain-Brest-January-28-2024-Ligue-1,,4,2,2,50.0,0,2.0,0.0,0,0,0,0,11,20,55.0,27,4,59.3,40.1,8,50.0,37.6,10,1,10.0,0,10.0,2,9,6,66.7,0.22,0.33,17.5,1,0,0,0.7,0.7,0.08,1.3,1.3,380,463,82.1,7052,2711,177,193,91.7,137,161,85.1,55,84,65.5,1,0.5,0.7,7,39,5,1,41,463,428,34,12,1,6,11,11,0,0,0,0,380,1,11,17,12,0,3,1,1,0,3,2,0,0,1,0,0,25,13,11,13,1,14,34,41.2,20,15,3,12,8,33,13,1,571,70,185,260,134,9,571,19,10,52.6,8,42.1,415,2357,912,8,12,2,14,13,376,41,3,0,0,10,12,1,11,8,13,0,0,0,59,13,16,44.8
FRA-Ligue 1,2324,Brest,2024-02-04 Brest-Nice,2024-02-04,17:05:00,Matchweek 20,Sun,Home,D,0,0,Nice,1.0,0.7,53,14500,Brendan Chardonnet,4-3-3,3-4-3,Jeremy Stinat,/en/matches/19dfaa21/Brest-Nice-February-4-2024-Ligue-1,,1,0,1,100.0,1,0.1,0.1,0,0,0,0,7,18,38.9,23,0,65.2,41.1,4,75.0,53.0,12,0,0.0,4,30.5,0,17,2,11.8,0.0,0.0,21.1,0,0,0,1.0,1.0,0.06,-1.0,-1.0,430,539,79.8,8004,2596,169,196,86.2,205,230,89.1,45,90,50.0,0,0.5,0.9,8,26,11,6,43,539,490,48,15,1,4,26,25,3,1,2,0,430,1,9,28,16,4,1,3,2,2,0,0,0,0,0,0,0,23,13,8,10,5,9,15,60.0,6,17,8,9,16,39,21,0,665,50,172,319,185,20,665,17,8,47.1,9,52.9,457,2403,908,15,19,0,16,7,428,42,3,0,0,12,12,1,26,16,13,0,0,0,61,27,18,60.0
