league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,1213,Arsenal,2012-08-18 Arsenal-Sunderland,2012-08-18,,Matchweek 1,Sat,Home,D,0,0,Sunderland,,60078,,4-2-3-1,4-5-1,Chris Foy,/en/matches/00377122/Arsenal-Sunderland-August-18-2012-Premier-League,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-08-26 Stoke City-Arsenal,2012-08-26,,Matchweek 2,Sun,Away,D,0,0,Stoke City,,27072,,4-2-3-1,4-4-1-1,Lee Mason,/en/matches/aa331524/Stoke-City-Arsenal-August-26-2012-Premier-League,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-09-02 Liverpool-Arsenal,2012-09-02,,Matchweek 3,Sun,Away,W,2,0,Liverpool,,44932,,4-2-3-1,4-3-3,Howard Webb,/en/matches/0b68b804/Liverpool-Arsenal-September-2-2012-Premier-League,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-09-15 Arsenal-Southampton,2012-09-15,,Matchweek 4,Sat,Home,W,6,1,Southampton,,60097,,4-2-3-1,4-1-4-1,Kevin Friend,/en/matches/97e07563/Arsenal-Southampton-September-15-2012-Premier-League,,,1,,,0,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-09-23 Manchester City-Arsenal,2012-09-23,,Matchweek 5,Sun,Away,D,1,1,Manchester City,,47318,,4-2-3-1,4-4-1-1,Mike Dean,/en/matches/4c5198c8/Manchester-City-Arsenal-September-23-2012-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-09-29 Arsenal-Chelsea,2012-09-29,,Matchweek 6,Sat,Home,L,1,2,Chelsea,,60101,,4-2-3-1,4-2-3-1,Martin Atkinson,/en/matches/14eacad5/North-West-London-Derby-Arsenal-Chelsea-September-29-2012-Premier-League,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-10-06 West Ham-Arsenal,2012-10-06,,Matchweek 7,Sat,Away,W,3,1,West Ham,,34974,,4-2-3-1,4-2-3-1,Phil Dowd,/en/matches/becb64ea/West-Ham-United-Arsenal-October-6-2012-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-10-20 Norwich City-Arsenal,2012-10-20,,Matchweek 8,Sat,Away,L,0,1,Norwich City,,26825,,4-2-3-1,4-4-1-1,Lee Probert,/en/matches/0a9f9b23/Norwich-City-Arsenal-October-20-2012-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-10-27 Arsenal-QPR,2012-10-27,,Matchweek 9,Sat,Home,W,1,0,QPR,,60103,,4-2-3-1,4-4-1-1,Anthony Taylor,/en/matches/8301c0ad/Arsenal-Queens-Park-Rangers-October-27-2012-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1213,Arsenal,2012-11-03 Manchester Utd-Arsenal,2012-11-03,,Matchweek 10,Sat,Away,L,1,2,Manchester Utd,,75492,,4-2-3-1,4-2-3-1,Mike Dean,/en/matches/921a3ac3/Manchester-United-Arsenal-November-3-2012-Premier-League,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
