league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,0910,Arsenal,2009-08-15 Everton-Arsenal,2009-08-15,,Matchweek 1,Sat,Away,W,6,1,Everton,,39309,,4-2-3-1,4-4-1-1,Mark Halsey,/en/matches/35642623/Everton-Arsenal-August-15-2009-Premier-League,,,1,,,0,,,,,6,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-08-22 Arsenal-Portsmouth,2009-08-22,,Matchweek 3,Sat,Home,W,4,1,Portsmouth,,60049,,4-2-3-1,4-5-1,Stephen Bennett,/en/matches/0a3884f2/Arsenal-Portsmouth-August-22-2009-Premier-League,,,1,,,0,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-08-29 Manchester Utd-Arsenal,2009-08-29,,Matchweek 4,Sat,Away,L,1,2,Manchester Utd,,75095,,4-1-4-1,4-1-4-1,Mike Dean,/en/matches/3cc7315d/Manchester-United-Arsenal-August-29-2009-Premier-League,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,1
ENG-Premier League,0910,Arsenal,2009-09-12 Manchester City-Arsenal,2009-09-12,,Matchweek 5,Sat,Away,L,2,4,Manchester City,,47339,,4-2-3-1,4-5-1,Mark Clattenburg,/en/matches/3a89650d/Manchester-City-Arsenal-September-12-2009-Premier-League,,,4,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-09-19 Arsenal-Wigan Athletic,2009-09-19,,Matchweek 6,Sat,Home,W,4,0,Wigan Athletic,,59103,,4-2-3-1,4-4-1-1,Mike Jones,/en/matches/faa48f83/Arsenal-Wigan-Athletic-September-19-2009-Premier-League,,,0,,,1,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-09-26 Fulham-Arsenal,2009-09-26,,Matchweek 7,Sat,Away,W,1,0,Fulham,,25700,,4-5-1,4-4-2,Martin Atkinson,/en/matches/d545891a/Fulham-Arsenal-September-26-2009-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-10-04 Arsenal-Blackburn,2009-10-04,,Matchweek 8,Sun,Home,W,6,2,Blackburn,,59431,,4-3-3,4-5-1,Peter Walton,/en/matches/3419c73b/Arsenal-Blackburn-Rovers-October-4-2009-Premier-League,,,2,,,0,,,,,6,,,,,,,0,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-10-17 Arsenal-Birmingham City,2009-10-17,,Matchweek 9,Sat,Home,W,3,1,Birmingham City,,,,4-2-3-1,4-5-1,Lee Probert,/en/matches/dab5629b/Arsenal-Birmingham-City-October-17-2009-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-10-25 West Ham-Arsenal,2009-10-25,,Matchweek 10,Sun,Away,D,2,2,West Ham,,34442,,4-2-3-1,4-4-2,Chris Foy,/en/matches/fbf69907/West-Ham-United-Arsenal-October-25-2009-Premier-League,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-10-31 Arsenal-Tottenham,2009-10-31,,Matchweek 11,Sat,Home,W,3,0,Tottenham,,60103,,4-2-3-1,4-5-1,Mark Clattenburg,/en/matches/3f2f0ff4/North-London-Derby-Arsenal-Tottenham-Hotspur-October-31-2009-Premier-League,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-11-07 Wolves-Arsenal,2009-11-07,,Matchweek 12,Sat,Away,W,4,1,Wolves,,28937,,4-2-3-1,4-4-2,Stephen Bennett,/en/matches/a93a792e/Wolverhampton-Wanderers-Arsenal-November-7-2009-Premier-League,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-11-21 Sunderland-Arsenal,2009-11-21,,Matchweek 13,Sat,Away,L,0,1,Sunderland,,44918,,4-2-3-1,4-5-1,Alan Wiley,/en/matches/01934ab9/Sunderland-Arsenal-November-21-2009-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-11-29 Arsenal-Chelsea,2009-11-29,,Matchweek 14,Sun,Home,L,0,3,Chelsea,,60067,,4-5-1,4-1-2-1-2,Andre Marriner,/en/matches/be6fc2f1/North-West-London-Derby-Arsenal-Chelsea-November-29-2009-Premier-League,,,3,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,1
ENG-Premier League,0910,Arsenal,2009-12-05 Arsenal-Stoke City,2009-12-05,,Matchweek 15,Sat,Home,W,2,0,Stoke City,,60048,,4-4-1-1,4-4-2,Mark Clattenburg,/en/matches/19f619a0/Arsenal-Stoke-City-December-5-2009-Premier-League,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-12-13 Liverpool-Arsenal,2009-12-13,,Matchweek 16,Sun,Away,W,2,1,Liverpool,,43853,,4-5-1,4-4-1-1,Howard Webb,/en/matches/833b35db/Liverpool-Arsenal-December-13-2009-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-12-16 Burnley-Arsenal,2009-12-16,,Matchweek 17,Wed,Away,D,1,1,Burnley,,21309,,4-5-1,4-5-1,Mike Dean,/en/matches/575674aa/Burnley-Arsenal-December-16-2009-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-12-19 Arsenal-Hull City,2009-12-19,,Matchweek 18,Sat,Home,W,3,0,Hull City,,60006,,4-2-3-1,4-1-4-1,Stephen Bennett,/en/matches/4adad987/Arsenal-Hull-City-December-19-2009-Premier-League,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0910,Arsenal,2009-12-27 Arsenal-Aston Villa,2009-12-27,,Matchweek 19,Sun,Home,W,3,0,Aston Villa,,60056,,4-5-1,4-4-2,Phil Dowd,/en/matches/baddd5c1/Arsenal-Aston-Villa-December-27-2009-Premier-League,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
