league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,0001,Arsenal,2000-08-19 Sunderland-Arsenal,2000-08-19,,Matchweek 1,Sat,Away,L,0,1,Sunderland,,47121,,,,Steve Dunn,/en/matches/b9e337c9/Sunderland-Arsenal-August-19-2000-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-08-21 Arsenal-Liverpool,2000-08-21,,Matchweek 2,Mon,Home,W,2,0,Liverpool,,38014,,,,Graham Poll,/en/matches/c59a2f54/Arsenal-Liverpool-August-21-2000-Premier-League,,,0,,,1,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-08-26 Arsenal-Charlton Ath,2000-08-26,,Matchweek 3,Sat,Home,W,5,3,Charlton Ath,,38025,,,,Stephen Lodge,/en/matches/4f7b582b/Arsenal-Charlton-Athletic-August-26-2000-Premier-League,,,3,,,0,,,,,5,,,,,,,0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-09-06 Chelsea-Arsenal,2000-09-06,,Matchweek 4,Wed,Away,D,2,2,Chelsea,,34923,,,,Mike Riley,/en/matches/90da567e/North-West-London-Derby-Chelsea-Arsenal-September-6-2000-Premier-League,,,2,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-09-09 Bradford City-Arsenal,2000-09-09,,Matchweek 5,Sat,Away,D,1,1,Bradford City,,17160,,,,Alan Wiley,/en/matches/6fe0debe/Bradford-City-Arsenal-September-9-2000-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-09-16 Arsenal-Coventry City,2000-09-16,,Matchweek 6,Sat,Home,W,2,1,Coventry City,,37794,,,,Mike Dean,/en/matches/90b30003/Arsenal-Coventry-City-September-16-2000-Premier-League,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-09-23 Ipswich Town-Arsenal,2000-09-23,,Matchweek 7,Sat,Away,D,1,1,Ipswich Town,,22030,,,,Paul Durkin,/en/matches/5c89c976/Ipswich-Town-Arsenal-September-23-2000-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-10-01 Arsenal-Manchester Utd,2000-10-01,,Matchweek 8,Sun,Home,W,1,0,Manchester Utd,,38146,,,,Graham Barber,/en/matches/100fd751/Arsenal-Manchester-United-October-1-2000-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-10-14 Arsenal-Aston Villa,2000-10-14,,Matchweek 9,Sat,Home,W,1,0,Aston Villa,,38042,,,,Rob Harris,/en/matches/41de5508/Arsenal-Aston-Villa-October-14-2000-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0001,Arsenal,2000-10-21 West Ham-Arsenal,2000-10-21,,Matchweek 10,Sat,Away,W,2,1,West Ham,,26034,,,,Dermot Gallagher,/en/matches/1336df0e/West-Ham-United-Arsenal-October-21-2000-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
