league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,0809,Arsenal,2008-08-16 Arsenal-West Brom,2008-08-16,,Matchweek 1,Sat,Home,W,1,0,West Brom,,,,4-4-2,4-5-1,Howard Webb,/en/matches/07cb7212/Arsenal-West-Bromwich-Albion-August-16-2008-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-08-23 Fulham-Arsenal,2008-08-23,,Matchweek 2,Sat,Away,L,0,1,Fulham,,,,4-4-2,4-4-1-1,Martin Atkinson,/en/matches/0352705e/Fulham-Arsenal-August-23-2008-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-08-30 Arsenal-Newcastle Utd,2008-08-30,,Matchweek 3,Sat,Home,W,3,0,Newcastle Utd,,,,4-4-2,4-4-2,Rob Styles,/en/matches/1acd2a2c/Arsenal-Newcastle-United-August-30-2008-Premier-League,,,0,,,1,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-09-13 Blackburn-Arsenal,2008-09-13,,Matchweek 4,Sat,Away,W,4,0,Blackburn,,,,4-4-2,4-4-2,Mike Dean,/en/matches/9d7b5e54/Blackburn-Rovers-Arsenal-September-13-2008-Premier-League,,,0,,,1,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-09-20 Bolton-Arsenal,2008-09-20,,Matchweek 5,Sat,Away,W,3,1,Bolton,,,,4-4-2,4-4-2,Stephen Bennett,/en/matches/9960b978/Bolton-Wanderers-Arsenal-September-20-2008-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-09-27 Arsenal-Hull City,2008-09-27,,Matchweek 6,Sat,Home,L,1,2,Hull City,,,,4-4-2,4-1-2-1-2,Alan Wiley,/en/matches/b4834245/Arsenal-Hull-City-September-27-2008-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-10-04 Sunderland-Arsenal,2008-10-04,,Matchweek 7,Sat,Away,D,1,1,Sunderland,,,,4-5-1,4-5-1,Lee Mason,/en/matches/159b0745/Sunderland-Arsenal-October-4-2008-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-10-18 Arsenal-Everton,2008-10-18,,Matchweek 8,Sat,Home,W,3,1,Everton,,,,4-4-2,4-5-1,Peter Walton,/en/matches/72cd1614/Arsenal-Everton-October-18-2008-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-10-26 West Ham-Arsenal,2008-10-26,,Matchweek 9,Sun,Away,W,2,0,West Ham,,,,4-4-2,4-3-3,Phil Dowd,/en/matches/8ae929bb/West-Ham-United-Arsenal-October-26-2008-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,0809,Arsenal,2008-10-29 Arsenal-Tottenham,2008-10-29,,Matchweek 10,Wed,Home,D,4,4,Tottenham,,,,4-4-2,4-5-1,Martin Atkinson,/en/matches/19e3c095/North-London-Derby-Arsenal-Tottenham-Hotspur-October-29-2008-Premier-League,,,4,,,0,,,,,4,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
