league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,1112,Arsenal,2011-08-13 Newcastle Utd-Arsenal,2011-08-13,,Matchweek 1,Sat,Away,D,0,0,Newcastle Utd,,46894,,4-2-3-1,4-4-2,Peter Walton,/en/matches/e0a75cb8/Newcastle-United-Arsenal-August-13-2011-Premier-League,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5,1,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-08-20 Arsenal-Liverpool,2011-08-20,,Matchweek 2,Sat,Home,L,0,2,Liverpool,,60090,,4-2-3-1,4-5-1,Martin Atkinson,/en/matches/671276c8/Arsenal-Liverpool-August-20-2011-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,1
ENG-Premier League,1112,Arsenal,2011-08-28 Manchester Utd-Arsenal,2011-08-28,,Matchweek 3,Sun,Away,L,2,8,Manchester Utd,,75448,,4-2-3-1,4-4-2,Howard Webb,/en/matches/cffc350c/Manchester-United-Arsenal-August-28-2011-Premier-League,,,8,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-09-10 Arsenal-Swansea City,2011-09-10,,Matchweek 4,Sat,Home,W,1,0,Swansea City,,60087,,4-2-3-1,4-2-3-1,Stuart Attwell,/en/matches/44819e0b/Arsenal-Swansea-City-September-10-2011-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-09-17 Blackburn-Arsenal,2011-09-17,,Matchweek 5,Sat,Away,L,3,4,Blackburn,,22637,,4-2-3-1,4-2-3-1,Andre Marriner,/en/matches/f627ef78/Blackburn-Rovers-Arsenal-September-17-2011-Premier-League,,,4,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,2
ENG-Premier League,1112,Arsenal,2011-09-24 Arsenal-Bolton,2011-09-24,,Matchweek 6,Sat,Home,W,3,0,Bolton,,59727,,4-2-3-1,4-5-1,Mark Clattenburg,/en/matches/d5dc0c49/Arsenal-Bolton-Wanderers-September-24-2011-Premier-League,,,0,,,1,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-10-02 Tottenham-Arsenal,2011-10-02,,Matchweek 7,Sun,Away,L,1,2,Tottenham,,36274,,4-2-3-1,4-4-2,Mike Dean,/en/matches/84fcea0c/North-London-Derby-Tottenham-Hotspur-Arsenal-October-2-2011-Premier-League,,,2,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-10-16 Arsenal-Sunderland,2011-10-16,,Matchweek 8,Sun,Home,W,2,1,Sunderland,,60078,,4-2-3-1,4-5-1,Howard Webb,/en/matches/cbf5ff16/Arsenal-Sunderland-October-16-2011-Premier-League,,,1,,,0,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-10-23 Arsenal-Stoke City,2011-10-23,,Matchweek 9,Sun,Home,W,3,1,Stoke City,,59671,,4-2-3-1,4-5-1,Lee Mason,/en/matches/d870c352/Arsenal-Stoke-City-October-23-2011-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1112,Arsenal,2011-10-29 Chelsea-Arsenal,2011-10-29,,Matchweek 10,Sat,Away,W,5,3,Chelsea,,41801,,4-2-3-1,4-3-3,Andre Marriner,/en/matches/4b62e0c8/North-West-London-Derby-Chelsea-Arsenal-October-29-2011-Premier-League,,,3,,,0,,,,,5,,,,,,,0,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0
