league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,match_report,Notes,Performance SoTA,Performance GA,Performance Saves,Performance Save%,Performance CS,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard G/Sh,Standard G/SoT,Standard Dist,Standard PK,Standard PKatt,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,KP,1/3,PPA,CrsPA,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Rec,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG
ENG-Premier League,1011,Blackburn,2010-12-18 Blackburn-West Ham,2010-12-18,,Matchweek 18,Sat,Home,D,1,1,West Ham,,21934,,4-4-1-1,4-5-1,Mike Dean,/en/matches/087bf577/Blackburn-Rovers-West-Ham-United-December-18-2010-Premier-League,,,1,,,0,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2010-12-26 Blackburn-Stoke City,2010-12-26,,Matchweek 19,Sun,Home,L,0,2,Stoke City,,25440,,5-3-2,4-4-2,Mike Jones,/en/matches/f07ceab4/Blackburn-Rovers-Stoke-City-December-26-2010-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2010-12-28 West Brom-Blackburn,2010-12-28,,Matchweek 20,Tue,Away,W,3,1,West Brom,,24440,,4-1-4-1,4-5-1,Phil Dowd,/en/matches/6bccc607/West-Bromwich-Albion-Blackburn-Rovers-December-28-2010-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-01-01 Sunderland-Blackburn,2011-01-01,,Matchweek 21,Sat,Away,L,0,3,Sunderland,,36242,,4-4-1-1,4-4-2,Mike Dean,/en/matches/37b32ec9/Sunderland-Blackburn-Rovers-January-1-2011-Premier-League,,,3,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-01-05 Blackburn-Liverpool,2011-01-05,,Matchweek 22,Wed,Home,W,3,1,Liverpool,,24522,,4-4-2,4-4-1-1,Andre Marriner,/en/matches/0172586a/Blackburn-Rovers-Liverpool-January-5-2011-Premier-League,,,1,,,0,,,,,3,,,,,,,0,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-01-15 Chelsea-Blackburn,2011-01-15,,Matchweek 23,Sat,Away,L,0,2,Chelsea,,40846,,4-4-1-1,4-3-3,Martin Atkinson,/en/matches/7be0d5f7/Chelsea-Blackburn-Rovers-January-15-2011-Premier-League,,,2,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-01-23 Blackburn-West Brom,2011-01-23,,Matchweek 24,Sun,Home,W,2,0,West Brom,,24057,,4-1-2-1-2◆,4-5-1,Mark Clattenburg,/en/matches/ea284ad3/Blackburn-Rovers-West-Bromwich-Albion-January-23-2011-Premier-League,,,0,,,1,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-02-02 Blackburn-Tottenham,2011-02-02,,Matchweek 25,Wed,Home,L,0,1,Tottenham,,23253,,4-1-2-1-2◆,4-4-2,Andre Marriner,/en/matches/b38a8ebe/Blackburn-Rovers-Tottenham-Hotspur-February-2-2011-Premier-League,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-02-05 Wigan Athletic-Blackburn,2011-02-05,,Matchweek 26,Sat,Away,L,3,4,Wigan Athletic,,18567,,4-1-2-1-2◆,4-3-3,Mike Dean,/en/matches/396bf9e3/Wigan-Athletic-Blackburn-Rovers-February-5-2011-Premier-League,,,4,,,0,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0
ENG-Premier League,1011,Blackburn,2011-02-12 Blackburn-Newcastle Utd,2011-02-12,,Matchweek 27,Sat,Home,D,0,0,Newcastle Utd,,26781,,4-1-2-1-2◆,4-4-2,Stuart Attwell,/en/matches/2358b118/Blackburn-Rovers-Newcastle-United-February-12-2011-Premier-League,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0
